feature,importance
wavelet_total_energy,0.09692054754296778
wavelet_d3_rms,0.052852607490906735
wavelet_d3_energy,0.050192783172041434
wavelet_d3_std,0.04668979609560236
wavelet_d1_std,0.035883546222952166
wavelet_d2_energy,0.035676247592183664
wavelet_d1_rms,0.034788000722940034
wavelet_d2_rms,0.03469150484022975
wavelet_d1_energy,0.033128247123265515
wavelet_d1_energy_ratio,0.032384221540053604
wavelet_d2_std,0.029179785942582668
wavelet_d4_std,0.029099457673092636
wavelet_d2_energy_ratio,0.028974792466906513
wavelet_d4_energy,0.028358079319405528
wavelet_d4_rms,0.02714947385153566
wavelet_d5_energy_ratio,0.02645770235621251
wavelet_a5_std,0.025016594279396568
wavelet_d3_energy_ratio,0.021922831628504336
wavelet_d5_rms,0.020420811087845717
wavelet_d1_entropy,0.01988087548974715
wavelet_a5_rms,0.019748103703800857
wavelet_a5_energy,0.019740877686878718
wavelet_d5_std,0.01789774296396698
wavelet_d5_energy,0.017611636433960264
wavelet_a5_energy_ratio,0.017451033681106717
wavelet_band_entropy,0.016721594614393914
wavelet_d3_max_abs,0.016681858623254834
wavelet_d4_energy_ratio,0.016473290952465452
wavelet_d1_kurtosis,0.016019497923566065
wavelet_d4_max_abs,0.015999309444540945
wavelet_d3_entropy,0.015148445950460197
wavelet_d1_max_abs,0.013739664650963448
wavelet_d3_kurtosis,0.013296570288215835
wavelet_d5_max_abs,0.012101370162836763
wavelet_a5_max_abs,0.008282902242460966
wavelet_d2_entropy,0.00774670992858549
wavelet_a5_entropy,0.007625115986730343
wavelet_d2_max_abs,0.007384776118168941
wavelet_a5_kurtosis,0.007094238066123876
wavelet_d2_kurtosis,0.006698233452917495
wavelet_d5_kurtosis,0.004263806624541003
wavelet_d5_entropy,0.0029929272138769364
wavelet_d2_skewness,0.0021573421637515414
wavelet_a5_skewness,0.0017503566288195264
wavelet_d4_kurtosis,0.0016138081348295163
wavelet_d4_entropy,0.0015014372667035644
wavelet_d5_skewness,0.0009377403100463984
wavelet_d1_skewness,0.0006367222217238674
wavelet_d4_skewness,0.0005439142557206626
wavelet_d3_skewness,0.00047106586621668546
