feature,importance
wavelet_d2_energy,0.05409838512492204
wavelet_d2_std,0.05369268527133273
wavelet_d2_rms,0.05344239453476945
wavelet_d3_std,0.05047435659389262
wavelet_d3_energy,0.04426570675837647
wavelet_total_energy,0.04213902436789225
wavelet_d3_rms,0.041361568239754835
wavelet_d2_energy_ratio,0.03555450309077929
wavelet_d1_energy,0.034150956889172135
wavelet_d1_std,0.03218271942692381
wavelet_a5_std,0.03100755013188613
wavelet_d1_rms,0.030639819131637745
wavelet_d2_entropy,0.028370291763231498
wavelet_a5_rms,0.025887513200296457
wavelet_a5_energy,0.025611020136504008
wavelet_d1_kurtosis,0.024487743225704846
wavelet_d1_max_abs,0.02437558006310836
wavelet_d5_energy,0.024365500913318162
wavelet_d1_energy_ratio,0.023765212190419698
wavelet_d5_std,0.023192384157546087
wavelet_d5_rms,0.02265378268271837
wavelet_d1_entropy,0.022582691086414794
wavelet_d5_energy_ratio,0.020684226244026285
wavelet_band_entropy,0.02048171368753243
wavelet_d3_energy_ratio,0.018374765007886408
wavelet_d2_kurtosis,0.017650327808106412
wavelet_d4_energy_ratio,0.017565787000751076
wavelet_d2_max_abs,0.01595331166108347
wavelet_d5_max_abs,0.015707330331192784
wavelet_d3_max_abs,0.01493456367366756
wavelet_d4_rms,0.013927093141594526
wavelet_d4_std,0.01324754022315802
wavelet_d4_energy,0.013224907944535392
wavelet_a5_energy_ratio,0.012965375454478721
wavelet_a5_max_abs,0.011091868045065078
wavelet_d4_max_abs,0.008037721119488231
wavelet_d4_kurtosis,0.005448622145206878
wavelet_d3_entropy,0.0054084976894289245
wavelet_d3_kurtosis,0.005196796048854477
wavelet_d4_entropy,0.004246714349920686
wavelet_d5_kurtosis,0.0039034022013372236
wavelet_a5_entropy,0.0036328957401696844
wavelet_a5_kurtosis,0.0028264213027914026
wavelet_d5_entropy,0.002584117912196661
wavelet_a5_skewness,0.0021950917633538412
wavelet_d2_skewness,0.0009084345176780149
wavelet_d5_skewness,0.0005544683810770508
wavelet_d1_skewness,0.000469428564744101
wavelet_d4_skewness,0.00027744553125501673
wavelet_d3_skewness,0.00019974352881794568
